Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Arsenal,2004-2005,14,Thierry Henry,France,BU,97
Arsenal,2004-2005,4,Patrick Vieira,France,MC,94
Arsenal,2004-2005,23,Sol Campbell,England,DC,93
Arsenal,2004-2005,7,Robert Pires,France,MG,92
Arsenal,2004-2005,10,Dennis Bergkamp,Netherlands,BU,90
Arsenal,2004-2005,8,Fredrik Ljungberg,Sweden,MD,89
Arsenal,2004-2005,12,Lauren,Cameroon,DD,89
Arsenal,2004-2005,19,Gilberto,Brazil,MC,89
Arsenal,2004-2005,3,Ashley Cole,England,DG,88
Arsenal,2004-2005,9,Jose Antonio Reyes,Spain,BU,88
Arsenal,2004-2005,28,Kolo Toure,Ivory Coast,DC,88
Arsenal,2004-2005,1,Jens Lehmann,Germany,G,87
Arsenal,2004-2005,17,Edu,Brazil,MC,83
Arsenal,2004-2005,11,Robin van Persie,Netherlands,BU|AD,82
Arsenal,2004-2005,24,Manuel Almunia,Spain,G,80
Arsenal,2004-2005,18,Pascal Cygan,France,DC,79
Arsenal,2004-2005,13,Stuart Taylor,England,G,77
Arsenal,2004-2005,21,Jermaine Pennant,England,MD,77
Arsenal,2004-2005,30,Jeremie Aliadiere,France,BU,76
Arsenal,2004-2005,20,Philippe Senderos,Switzerland,DC,75
Arsenal,2004-2005,22,Gael Clichy,France,DG,74
Arsenal,2004-2005,16,Mathieu Flamini,France,MDC,73
Arsenal,2004-2005,15,Francesc Fabregas,Spain,MC,72
Arsenal,2005-2006,14,Thierry Henry,France,BU,92
Arsenal,2005-2006,23,Sol Campbell,England,DC,90
Arsenal,2005-2006,10,Dennis Bergkamp,Netherlands,BU,88
Arsenal,2005-2006,7,Robert Pires,France,MG,87
Arsenal,2005-2006,13,Aliaksandr Hleb,Belarus,MC|MD|MG,87
Arsenal,2005-2006,28,Kolo Toure,Ivory Coast,DC,87
Arsenal,2005-2006,9,Jose Antonio Reyes,Spain,BU,86
Arsenal,2005-2006,12,Lauren,Cameroon,DD,85
Arsenal,2005-2006,3,Ashley Cole,England,DG,85
Arsenal,2005-2006,1,Jens Lehmann,Germany,G,84
Arsenal,2005-2006,8,Freddie Ljungberg,Sweden,MD|MG,84
Arsenal,2005-2006,11,Robin van Persie,Netherlands,BU|AD,82
Arsenal,2005-2006,19,Gilberto,Brazil,MC,80
Arsenal,2005-2006,20,Philippe Senderos,Switzerland,DC,79
Arsenal,2005-2006,15,Francesc Fabregas,Spain,MC,79
Arsenal,2006-2007,14,Thierry Henry,France,BU,90
Arsenal,2006-2007,1,Jens Lehmann,Germany,G,87
Arsenal,2006-2007,7,Tomas Rosicky,Czechia,MOC|MD,85
Arsenal,2006-2007,4,Francesc Fabregas,Spain,MC,85
Arsenal,2006-2007,11,Robin van Persie,Netherlands,BU|AD,84
Arsenal,2006-2007,5,Kolo Toure,Ivory Coast,DC,84
Arsenal,2006-2007,8,Freddie Ljungberg,Sweden,MD|MG,83
Arsenal,2006-2007,3,Ashley Cole,England,DG,82
Arsenal,2006-2007,9,Jose Antonio Reyes,Spain,BU,82
Arsenal,2006-2007,19,Gilberto Silva,Brazil,MC,81
Arsenal,2006-2007,6,Philippe Senderos,Switzerland,DC,81
Arsenal,2006-2007,13,Aliaksandr Hleb,Belarus,MC|MD|MG,79
Arsenal,2006-2007,22,Gael Clichy,France,DG,79
Arsenal,2006-2007,25,Emmanuel Adebayor,Togo,BU,78
Arsenal,2006-2007,27,Emmanuel Eboue,Ivory Coast,DD|MC|MD,78
Arsenal,2006-2007,12,Lauren,Cameroon,DD,77
Arsenal,2006-2007,16,Mathieu Flamini,France,MDC,76
Arsenal,2006-2007,32,Theo Walcott,England,BU|MD|AD|MG,76
Arsenal,2007-2008,5,Kolo Toure,Ivory Coast,DC,86
Arsenal,2007-2008,10,William Gallas,France,DC,85
Arsenal,2007-2008,11,Robin Van Persie,Netherlands,BU,85
Arsenal,2007-2008,7,Tomas Rosicky,Czechia,MOC|MD,85
Arsenal,2007-2008,4,Francesc Fabregas,Spain,MC,85
Arsenal,2007-2008,1,Jens Lehmann,Germany,G,83
Arsenal,2007-2008,19,Gilberto Silva,Brazil,MC,82
Arsenal,2007-2008,9,Eduardo,Croatia,BU,82
Arsenal,2007-2008,13,Aliaksandr Hleb,Belarus,MC|MD|MG,81
Arsenal,2007-2008,25,Emmanuel Adebayor,Togo,BU,78
Arsenal,2007-2008,27,Emmanuel Eboue,Ivory Coast,DD|MC|MD,78
Arsenal,2007-2008,6,Philippe Senderos,Switzerland,DC,77
Arsenal,2007-2008,22,Gael Clichy,France,DG,77
Arsenal,2007-2008,3,Bakary Sagna,France,DD,76
Arsenal,2007-2008,24,Manuel Almunia,Spain,G,75
Arsenal,2007-2008,15,Denilson,Brazil,MC,75
Arsenal,2008-2009,4,Francesc Fabregas,Spain,MC,88
Arsenal,2008-2009,25,Emmanuel Adebayor,Togo,BU,86
Arsenal,2008-2009,11,Robin van Persie,Netherlands,BU|AD,85
Arsenal,2008-2009,5,Kolo Toure,Ivory Coast,DC,85
Arsenal,2008-2009,10,William Gallas,France,DC,84
Arsenal,2008-2009,7,Tomas Rosicky,Czechia,MOC|MD,84
Arsenal,2008-2009,22,Gael Clichy,France,DG,83
Arsenal,2008-2009,9,Eduardo,Croatia,BU,83
Arsenal,2008-2009,3,Bacary Sagna,France,DD,82
Arsenal,2008-2009,8,Samir Nasri,France,MG|MOC|MC,82
