Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Monaco,2007-2008,18,Frederic Piquionne,France,BU,77
Monaco,2007-2008,21,Camel Meriem,France,AD,76
Monaco,2007-2008,2,Sylvain Monsoreau,France,DC,76
Monaco,2007-2008,9,Jan Koller,Tchequie,BU,75
Monaco,2007-2008,7,Lucas Bernardi,Argentine,MC,75
Monaco,2007-2008,4,Francois-Joseph Modesto,France,DC,75
Monaco,2007-2008,22,Bolivar,Bresil,DC,75
Monaco,2007-2008,11,Nene,Bresil,MOC,75
Monaco,2007-2008,10,Jeremy Menez,France,AG,75
Monaco,2007-2008,5,Diego Perez,Uruguay,MD,74
Monaco,2007-2008,19,Gonzalo Vargas,Uruguay,BU,74
Monaco,2007-2008,30,Flavio Roma,Italie,G,73
Monaco,2007-2008,3,Jeremy Berthod,France,DG,73
Monaco,2007-2008,17,Serge Gakpe,France,BU,73
Monaco,2007-2008,6,Jaroslav Plasil,Tchequie,MG,71
Monaco,2007-2008,23,Jerko Leko,Croatie,MC,70
Monaco,2007-2008,25,Leandro Cufre,Argentine,DD,68
Monaco,2007-2008,20,Juan Pablo Pino,Colombie,BU,68
Monaco,2007-2008,13,Vincent Muratori,France,DG,67
Monaco,2007-2008,16,Stephane Ruffier,France,G,65
Monaco,2007-2008,14,Malaury Martin,France,MDC,62
Monaco,2007-2008,26,Massamba Lo Sambou,Senegal,MDC,57
Monaco,2007-2008,1,Manuel Vallaurio,France,G,57
Monaco,2007-2008,24,Cedric Mongongu,RD Congo,MDC,52
Monaco,2007-2008,27,Arnaud Lescure,France,DC,45
Monaco,2008-2009,5,Diego Perez,Uruguay,MDC,76
Monaco,2008-2009,21,Camel Meriem,France,AD,75
Monaco,2008-2009,8,Freddy Adu,Etats-Unis,BU,75
Monaco,2008-2009,14,Dario Simic,Croatie,DC,74
Monaco,2008-2009,4,Francois-Joseph Modesto,France,DC,74
Monaco,2008-2009,17,Serge Gakpe,France,BU,74
Monaco,2008-2009,7,Lucas Bernardi,Argentine,MC,73
Monaco,2008-2009,16,Stephane Ruffier,France,G,73
Monaco,2008-2009,30,Flavio Roma,Italie,G,72
Monaco,2008-2009,11,Patrick Muller,Suisse,DC,72
Monaco,2008-2009,23,Jerko Leko,Croatie,MG,71
Monaco,2008-2009,18,Alejandro Cesar Alonso,Espagne,MD,71
Monaco,2008-2009,10,Park Chu-Young,Coree du Sud,BU,71
Monaco,2008-2009,27,Frederic Nimani N'Galou,France,BU,71
Monaco,2008-2009,25,Leandro Cufre,Argentine,DG,70
Monaco,2008-2009,20,Juan Pablo Pino,Colombie,AG,70
Monaco,2008-2009,2,Cedric Mongongu,RD Congo,DD,69
Monaco,2008-2009,6,Nikola Pokrivac,Croatie,MDC,69
Monaco,2008-2009,19,Jean-Jacques Gosso,Cote d'Ivoire,MDC,69
Monaco,2008-2009,32,Elia Legati,Italie,DC,67
Monaco,2008-2009,15,Thomas Mangani,France,DC,67
Monaco,2008-2009,13,Vincent Muratori,France,DG,67
Monaco,2008-2009,12,Adriano,Bresil,DC,66
Monaco,2008-2009,28,Djamel Bakar,France,BU,65
Monaco,2008-2009,22,Alexandre Licata,France,BU,64
Monaco,2008-2009,34,Torben Joneleit,Allemagne,DC,64
Monaco,2008-2009,9,Yannick Sagbo,France,BU,63
Monaco,2008-2009,35,Sani Kaita,Nigeria,MDC,62
Monaco,2008-2009,26,Yohan Mollo,France,MD,61
Monaco,2008-2009,31,Kevin Diaz,France,MG,61
Monaco,2008-2009,29,Distel Zola,France,MDC,60
Monaco,2008-2009,3,Nicolas Nkoulou,Cameroun,DC,57
Monaco,2008-2009,1,Yoann Thuram-Ulien,France,G,54
Monaco,2008-2009,36,Frederic Bulot,France,BU,54
Monaco,2008-2009,33,Leo Schwechlen,France,DC,48
Monaco,2009-2010,11,Nene,Bresil,AG,77
Monaco,2009-2010,16,Stephane Ruffier,France,G,77
Monaco,2009-2010,28,Sebastien Puygrenier,France,DC,76
Monaco,2009-2010,22,Mathieu Coutadeur,France,MDC,76
Monaco,2009-2010,20,Juan Pablo Pino,Colombie,BU,76
Monaco,2009-2010,9,Eidur Gudjohnsen,Islande,BU,75
Monaco,2009-2010,14,Dario Simic,Croatie,DC,74
Monaco,2009-2010,7,Jean-Jacques Gosso,Cote d'Ivoire,MDC,74
Monaco,2009-2010,4,Francois-Joseph Modesto,France,DD,73
Monaco,2009-2010,10,Park Chu-Young,Coree du Sud,BU,73
Monaco,2009-2010,8,Alejandro Alonso,Argentine,AD,73
Monaco,2009-2010,26,Yohan Mollo,France,AD,73
Monaco,2009-2010,18,Djimi Traore,Mali,DG,72
Monaco,2009-2010,2,Cedric Mongongu,RD Congo,DC,72
Monaco,2009-2010,24,Eduardo Costa,Bresil,MDG,71
Monaco,2009-2010,19,Patrick Muller,Suisse,DC,71
Monaco,2009-2010,23,Jerko Leko,Croatie,MDC,71
Monaco,2009-2010,5,Diego Perez,Uruguay,MDC,70
Monaco,2009-2010,32,Igor Lolo,Cote d'Ivoire,DC,70
Monaco,2009-2010,17,Serge Gakpe,Togo,BU,70
