Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Chelsea,2005-2006,1,Petr Cech,Czechia,G,94
Chelsea,2004-2005,23,Carlo Cudicini,Italy,G,91
Chelsea,2004-2005,4,Claude Makelele,France,MC|MDC,91
Chelsea,2005-2006,5,Michael Essien,Ghana,MC|MDC,91
Chelsea,2018-2019,17,Eden Hazard,Belgium,AG |MG|MOC,91
Chelsea,2004-2005,8,Frank Lampard,England,MC|MOC|MDC,90
Chelsea,2005-2006,16,Arjen Robben,Netherlands,MG | MD | AD,90
Chelsea,2005-2006,26,John Terry,England,DC,90
Chelsea,2006-2007,26,John Terry,England,DC,90
Chelsea,2007-2008,26,John Terry,England,DC,90
Chelsea,2017-2018,17,Eden Hazard,Belgium,AG |MG|MOC,90
Chelsea,2004-2005,26,John Terry,England,DC,89
Chelsea,2006-2007,8,Frank Lampard,England,MC|MOC|MDC,89
Chelsea,2006-2007,1,Petr Cech,Czechia,G,89
Chelsea,2007-2008,1,Petr Cech,Czechia,G,89
Chelsea,2017-2018,13,Thibaut Courtois,Belgium,G,89
Chelsea,2017-2018,6,N'Golo Kante,France,MDC|MC,89
Chelsea,2018-2019,6,N'Golo Kante,France,MDC|MC,89
Chelsea,2021-2022,11,Romelu Lukaku,Belgium,BU,89
Chelsea,2004-2005,6,Ricardo Carvalho,Portugal,DC,88
Chelsea,2004-2005,15,Didier Drogba,Ivory Coast,BU,88
Chelsea,2005-2006,4,Claude Makelele,France,MC|MDC,88
Chelsea,2005-2006,9,Hernan Crespo,Argentina,BU,88
Chelsea,2006-2007,7,Andriy Shevchenko,Ukraine,BU,88
Chelsea,2007-2008,5,Michael Essien,Ghana,MC|MDC,88
Chelsea,2008-2009,26,John Terry,England,DC,88
Chelsea,2008-2009,1,Petr Cech,Czechia,G,88
Chelsea,2010-2011,11,Didier Drogba,Ivory Coast,BU,88
Chelsea,2013-2014,17,Eden Hazard,Belgium,AG |MG|MOC,88
Chelsea,2014-2015,17,Eden Hazard,Belgium,AG |MG|MOC,88
Chelsea,2015-2016,17,Eden Hazard,Belgium,AG |MG|MOC,88
Chelsea,2016-2017,17,Eden Hazard,Belgium,AG |MG|MOC,88
Chelsea,2020-2021,7,N'Golo Kante,France,MDC|MC,88
Chelsea,2021-2022,7,N'Golo Kante,France,MDC|MC,88
Chelsea,2004-2005,22,Eidur Gudjohnsen,Iceland,BU,87
Chelsea,2004-2005,13,William Gallas,France,DC,87
Chelsea,2006-2007,13,Michael Ballack,Germany,MD|MC|MOC,87
Chelsea,2006-2007,16,Arjen Robben,Netherlands,MG | MD | AD,87
Chelsea,2007-2008,11,Didier Drogba,Ivory Coast,BU,87
Chelsea,2007-2008,15,Florent Malouda,France,MG|AG,87
Chelsea,2008-2009,11,Didier Drogba,Ivory Coast,BU,87
Chelsea,2009-2010,8,Frank Lampard,England,MC|MOC|MDC,87
Chelsea,2009-2010,26,John Terry,England,DC,87
Chelsea,2010-2011,8,Frank Lampard,England,MC|MOC|MDC,87
Chelsea,2013-2014,10,Juan Mata,Spain,AG|MOC|MD,87
Chelsea,2016-2017,13,Thibaut Courtois,Belgium,G,87
Chelsea,2019-2020,6,N'Golo Kante,France,MDC|MC,87
Chelsea,2021-2022,5,Jorginho,Italy,MDC,87
Chelsea,2021-2022,2,Antonio Rudiger,Germany,DC,87
Chelsea,2004-2005,9,Mateja Kezman,Serbia,BU,86
Chelsea,2004-2005,7,Adrian Mutu,Romania,BU,86
Chelsea,2004-2005,1,Petr Cech,Czechia,G,86
Chelsea,2004-2005,11,Damien Duff,Republic of Ireland,MG|AD,86
Chelsea,2005-2006,23,Carlo Cudicini,Italy,G,86
Chelsea,2005-2006,24,Shaun Wright-Phillips,England,MD,86
Chelsea,2005-2006,6,Ricardo Carvalho,Portugal,DC,86
Chelsea,2005-2006,13,William Gallas,France,DC,86
Chelsea,2006-2007,10,Joe Cole,England,MD|MG,86
Chelsea,2006-2007,5,Michael Essien,Ghana,MC|MDC,86
Chelsea,2007-2008,6,Ricardo Carvalho,Portugal,DC,86
Chelsea,2007-2008,33,Alex,Brazil,DC,86
Chelsea,2008-2009,13,Michael Ballack,Germany,MD|MC|MOC,86
Chelsea,2008-2009,8,Frank Lampard,England,MC|MOC|MDC,86
Chelsea,2008-2009,5,Michael Essien,Ghana,MC|MDC,86
Chelsea,2009-2010,5,Michael Essien,Ghana,MC|MDC,86
Chelsea,2010-2011,26,John Terry,England,DC,86
Chelsea,2011-2012,11,Didier Drogba,Ivory Coast,BU,86
Chelsea,2011-2012,10,Juan Mata,Spain,AG|MOC|MD,86
Chelsea,2012-2013,10,Juan Mata,Spain,AG|MOC|MD,86
Chelsea,2014-2015,13,Thibaut Courtois,Belgium,G,86
Chelsea,2016-2017,6,N'Golo Kante,France,MDC|MC,86
Chelsea,2022-2023,7,N'Golo Kante,France,MDC|MC,86
Chelsea,2025-2026,10,Cole Palmer,England,MOC,86
Chelsea,2025-2026,5,Enzo Fernandez,Argentina,MDC,86
Chelsea,2004-2005,10,Joe Cole,England,MD|MG,85
Chelsea,2004-2005,18,Wayne Bridge,England,DG,85
Chelsea,2004-2005,16,Arjen Robben,Netherlands,MG | MD | AD,85
Chelsea,2005-2006,8,Frank Lampard,England,MC|MOC|MDC,85
Chelsea,2005-2006,22,Eidur Gudjohnsen,Iceland,BU,85
Chelsea,2005-2006,11,Damien Duff,Republic of Ireland,MG|AD,85
Chelsea,2006-2007,3,William Gallas,France,DC,85
Chelsea,2007-2008,10,Joe Cole,England,MD|MG,85
Chelsea,2007-2008,8,Frank Lampard,England,MC|MOC|MDC,85
Chelsea,2008-2009,6,Ricardo Carvalho,Portugal,DC,85
Chelsea,2008-2009,20,Deco,Portugal,MG|MC,85
Chelsea,2009-2010,39,Nicolas Anelka,France,BU|AD,85
Chelsea,2009-2010,11,Didier Drogba,Ivory Coast,BU,85
Chelsea,2009-2010,1,Petr Cech,Czechia,G,85
Chelsea,2010-2011,39,Nicolas Anelka,France,BU|AD,85
Chelsea,2010-2011,5,Michael Essien,Ghana,MC|MDC,85
Chelsea,2011-2012,26,John Terry,England,DC,85
Chelsea,2011-2012,3,Ashley Cole,England,DG,85
Chelsea,2012-2013,17,Eden Hazard,Belgium,AG |MG|MOC,85
Chelsea,2013-2014,1,Petr Cech,Czechia,G,85
Chelsea,2014-2015,4,Cesc Fabregas,Spain,MDC|MC,85
Chelsea,2014-2015,19,Diego Costa,Spain,BU,85
Chelsea,2015-2016,19,Diego Costa,Spain,BU,85
Chelsea,2015-2016,13,Thibaut Courtois,Belgium,G,85
Chelsea,2016-2017,19,Diego Costa,Spain,BU,85
Chelsea,2017-2018,28,Cesar Azpilicueta,Spain,DD,85
Chelsea,2022-2023,15,Kalidou Koulibaly,Senegal,DC,85
Chelsea,2004-2005,14,Geremi,Cameroon,MD,84
Chelsea,2004-2005,5,Alexei Smertin,Russia,MC,84
Chelsea,2004-2005,20,Paulo Ferreira,Portugal,DD,84
Chelsea,2006-2007,11,Didier Drogba,Ivory Coast,BU,84
Chelsea,2006-2007,21,Salomon Kalou,Ivory Coast,BU|AG|MG,84
Chelsea,2007-2008,13,Michael Ballack,Germany,MD|MC|MOC,84
Chelsea,2008-2009,10,Joe Cole,England,MD|MG,84
Chelsea,2009-2010,6,Ricardo Carvalho,Portugal,DC,84
Chelsea,2009-2010,13,Michael Ballack,Germany,MD|MC|MOC,84
Chelsea,2010-2011,15,Florent Malouda,France,MG|AG,84
Chelsea,2010-2011,1,Petr Cech,Czechia,G,84
Chelsea,2011-2012,8,Frank Lampard,England,MC|MOC|MDC,84
Chelsea,2011-2012,1,Petr Cech,Czechia,G,84
Chelsea,2011-2012,9,Fernando Torres,Spain,BU,84
Chelsea,2012-2013,3,Ashley Cole,England,DG,84
Chelsea,2012-2013,1,Petr Cech,Czechia,G,84
Chelsea,2013-2014,11,Oscar,Brazil,MOC,84
Chelsea,2014-2015,11,Oscar,Brazil,MOC,84
Chelsea,2018-2019,28,Cesar Azpilicueta,Spain,DD,84
Chelsea,2018-2019,5,Jorginho,Italy,MDC,84
Chelsea,2018-2019,2,Antonio Rudiger,Germany,DC,84
Chelsea,2019-2020,28,Cesar Azpilicueta,Spain,DD,84
Chelsea,2019-2020,5,Jorginho,Italy,MDC,84
Chelsea,2020-2021,11,Timo Werner,Germany,BU,84
Chelsea,2020-2021,8,Mateo Kovacic,Croatia,MC,84
Chelsea,2020-2021,6,Thiago Silva,Brazil,DC,84
Chelsea,2021-2022,8,Mateo Kovacic,Croatia,MC,84
Chelsea,2021-2022,6,Thiago Silva,Brazil,DC,84
Chelsea,2022-2023,5,Jorginho,Italy,MDC,84
Chelsea,2022-2023,24,Reece James,England,DD,84
Chelsea,2022-2023,19,Mason Mount,England,MOC,84
Chelsea,2023-2024,24,Reece James,England,DD,84
Chelsea,2024-2025,5,Enzo Fernandez,Argentina,MDC,84
Chelsea,2024-2025,10,Cole Palmer,England,MOC,84
Chelsea,2025-2026,22,Moises Caicedo,Ecuador,MDC,84
Chelsea,2005-2006,3,Asier Del Horno,Spain,DG,83
Chelsea,2005-2006,20,Paulo Ferreira,Portugal,DD,83
Chelsea,2006-2007,24,Shaun Wright-Phillips,England,MD,83
Chelsea,2006-2007,6,Ricardo Carvalho,Portugal,DC,83
Chelsea,2008-2009,39,Nicolas Anelka,France,BU|AD,83
Chelsea,2008-2009,3,Ashley Cole,England,DG,83
Chelsea,2008-2009,15,Florent Malouda,France,MG|AG,83
Chelsea,2009-2010,10,Joe Cole,England,MD|MG,83
Chelsea,2009-2010,3,Ashley Cole,England,DG,83
Chelsea,2009-2010,18,Yuriy Zhirkov,Russia,MG,83
Chelsea,2010-2011,3,Ashley Cole,England,DG,83
Chelsea,2010-2011,33,Alex,Brazil,DC,83
Chelsea,2011-2012,39,Nicolas Anelka,France,BU|AD,83
Chelsea,2011-2012,5,Michael Essien,Ghana,MC|MDC,83
Chelsea,2011-2012,2,Branislav Ivanovic,Serbia,DC|DD,83
Chelsea,2012-2013,26,John Terry,England,DC,83
Chelsea,2012-2013,2,Branislav Ivanovic,Serbia,DC|DD,83
Chelsea,2013-2014,26,John Terry,England,DC,83
Chelsea,2013-2014,3,Ashley Cole,England,DG,83
Chelsea,2013-2014,22,Willian,Brazil,MD,83
Chelsea,2014-2015,21,Nemanja Matic,Serbia,MDC,83
Chelsea,2014-2015,26,John Terry,England,DC,83
Chelsea,2015-2016,22,Willian,Brazil,MD,83
Chelsea,2015-2016,21,Nemanja Matic,Serbia,MDC,83
Chelsea,2015-2016,4,Cesc Fabregas,Spain,MDC|MC,83
Chelsea,2015-2016,22,Pedro,Spain,MG|MD,83
Chelsea,2016-2017,28,Cesar Azpilicueta,Spain,DD,83
Chelsea,2016-2017,4,Cesc Fabregas,Spain,MDC|MC,83
Chelsea,2016-2017,22,Willian,Brazil,MD,83
Chelsea,2017-2018,22,Willian,Brazil,MD,83
Chelsea,2017-2018,8,Cesc Fabregas,Spain,MDC|MC,83
Chelsea,2018-2019,22,Willian,Brazil,MD,83
Chelsea,2018-2019,19,Mateo Kovacic,Croatia,MC,83
Chelsea,2018-2019,30,David Luiz,Brazil,DC|MDC,83
Chelsea,2019-2020,13,Kepa Arrizabalaga,Spain,G,83
Chelsea,2019-2020,8,Mateo Kovacic,Croatia,MC,83
Chelsea,2020-2021,5,Jorginho,Italy,MDC,83
Chelsea,2021-2022,13,Edouard Mendy,Senegal,G,83
Chelsea,2021-2022,19,Mason Mount,England,MOC,83
Chelsea,2022-2023,13,Edouard Mendy,Senegal,G,83
Chelsea,2022-2023,8,Mateo Kovacic,Croatia,MC,83
Chelsea,2005-2006,15,Didier Drogba,Ivory Coast,BU,82
Chelsea,2006-2007,20,Paulo Ferreira,Portugal,DD,82
Chelsea,2007-2008,12,John Obi Mikel,Nigeria,MC|MDC,82
Chelsea,2008-2009,17,Bosingwa,Portugal,DD,82
Chelsea,2008-2009,33,Alex,Brazil,DC,82
Chelsea,2009-2010,17,Bosingwa,Portugal,DD,82
Chelsea,2009-2010,15,Florent Malouda,France,MG|AG,82
Chelsea,2009-2010,20,Deco,Portugal,MG|MC,82
Chelsea,2009-2010,33,Alex,Brazil,DC,82
Chelsea,2010-2011,12,John Obi Mikel,Nigeria,MC|MDC,82
Chelsea,2010-2011,2,Branislav Ivanovic,Serbia,DC|DD,82
Chelsea,2011-2012,15,Florent Malouda,France,MG|AG,82
Chelsea,2011-2012,33,Alex,Brazil,DC,82
Chelsea,2012-2013,9,Fernando Torres,Spain,BU,82
Chelsea,2012-2013,29,Demba Ba,Senegal,BU,82
Chelsea,2012-2013,11,Oscar,Brazil,MOC,82
Chelsea,2013-2014,29,Samuel Etoo,Cameroon,BU,82
Chelsea,2013-2014,9,Fernando Torres,Spain,BU,82
Chelsea,2013-2014,4,David Luiz,Brazil,DC|MDC,82
Chelsea,2014-2015,22,Willian,Brazil,MD,82
Chelsea,2014-2015,21,Juan Cuadrado,Colombia,MD,82
Chelsea,2014-2015,3,Filipe Luis,Brazil,DG,82
Chelsea,2015-2016,11,Oscar,Brazil,MOC,82
Chelsea,2016-2017,24,Gary Cahill,England,DC,82
Chelsea,2016-2017,18,David Luiz,Brazil,DC|MDC,82
Chelsea,2016-2017,11,Pedro,Spain,MG|MD,82
Chelsea,2017-2018,9,Alvaro Morata,Spain,BU,82
Chelsea,2017-2018,24,Gary Cahill,England,DC,82
Chelsea,2018-2019,13,Kepa Arrizabalaga,Spain,G,82
Chelsea,2018-2019,3,Marcos Alonso,Spain,DG,82
Chelsea,2019-2020,2,Antonio Rudiger,Germany,DC,82
Chelsea,2019-2020,22,Willian,Brazil,MD,82
Chelsea,2020-2021,28,Cesar Azpilicueta,Spain,DD,82
Chelsea,2020-2021,2,Antonio Rudiger,Germany,DC,82
Chelsea,2020-2021,22,Hakim Ziyech,Morocco,MD,82
Chelsea,2021-2022,28,Cesar Azpilicueta,Spain,DD,82
Chelsea,2021-2022,21,Ben Chilwell,England,DG,82
Chelsea,2021-2022,24,Reece James,England,DD,82
Chelsea,2022-2023,28,Cesar Azpilicueta,Spain,DD,82
Chelsea,2022-2023,6,Thiago Silva,Brazil,DC,82
Chelsea,2022-2023,9,Pierre-Emerick Aubameyang,Gabon,BU,82
Chelsea,2023-2024,5,Enzo Fernandez,Argentina,MDC,82
Chelsea,2023-2024,20,Christopher Nkunku,France,BU,82
Chelsea,2023-2024,7,Raheem Sterling,England,MG,82
Chelsea,2024-2025,20,Christopher Nkunku,France,BU,82
Chelsea,2024-2025,22,Moises Caicedo,Ecuador,MDC,82
Chelsea,2025-2026,21,Marc Cucurella,Spain,DG,82
Chelsea,2004-2005,19,Scott Parker,England,MC,81
Chelsea,2006-2007,4,Claude Makelele,France,MC|MDC,81
Chelsea,2007-2008,7,Andriy Shevchenko,Ukraine,BU,81
Chelsea,2008-2009,12,John Obi Mikel,Nigeria,MC|MDC,81
Chelsea,2009-2010,12,John Obi Mikel,Nigeria,MC|MDC,81
Chelsea,2010-2011,17,Bosingwa,Portugal,DD,81
Chelsea,2010-2011,18,Yuriy Zhirkov,Russia,MG,81
