Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Manchester United,2004-2005,10,Ruud van Nistelrooy,Netherlands,BU,95
Manchester United,2004-2005,11,Ryan Giggs,Wales,MG,92
Manchester United,2004-2005,18,Paul Scholes,England,MC,92
Manchester United,2004-2005,5,Rio Ferdinand,England,DC,92
Manchester United,2004-2005,16,Roy Keane,Republic of Ireland,MC,91
Manchester United,2004-2005,1,Tim Howard,United States,G,89
Manchester United,2004-2005,7,C. Ronaldo,Portugal,MD,88
Manchester United,2004-2005,8,Wayne Rooney,England,BU,87
Manchester United,2004-2005,9,Louis Saha,France,BU,86
Manchester United,2004-2005,27,Mikael Silvestre,France,DC,85
Manchester United,2004-2005,22,John O'Shea,Republic of Ireland,DG|DC|DD,84
Manchester United,2004-2005,13,Roy Carroll,Northern Ireland,G,84
Manchester United,2004-2005,6,Wes Brown,England,DC,83
Manchester United,2004-2005,15,Kleberson,Brazil,MC,83
Manchester United,2004-2005,2,Gary Neville,England,DD,82
Manchester United,2004-2005,4,Gabriel Heinze,Argentina,DG,82
Manchester United,2004-2005,14,Alan Smith,England,BU,82
Manchester United,2004-2005,3,Phil Neville,England,DG,80
Manchester United,2004-2005,19,Eric Djemba-Djemba,Cameroon,MC,79
Manchester United,2004-2005,25,Quinton Fortune,South Africa,MG,75
Manchester United,2004-2005,24,Darren Fletcher,Scotland,MD|MDC,75
Manchester United,2005-2006,8,Wayne Rooney,England,BU,93
Manchester United,2005-2006,5,Rio Ferdinand,England,DC,91
Manchester United,2005-2006,10,Ruud van Nistelrooy,Netherlands,BU,91
Manchester United,2005-2006,7,C. Ronaldo,Portugal,MD,91
Manchester United,2005-2006,18,Paul Scholes,England,MC,87
Manchester United,2005-2006,19,Edwin Van der Sar,Netherlands,G,86
Manchester United,2005-2006,20,Ole Gunnar Solskjaer,Norway,BU,85
Manchester United,2005-2006,22,John O'Shea,Republic of Ireland,DG|DC|DD,84
Manchester United,2005-2006,9,Louis Saha,France,BU,84
Manchester United,2005-2006,27,Mikael Silvestre,France,DC,84
Manchester United,2005-2006,4,Gabriel Heinze,Argentina,DG,84
Manchester United,2005-2006,1,Tim Howard,United States,G,84
Manchester United,2005-2006,16,Roy Keane,Republic of Ireland,MC,82
Manchester United,2005-2006,11,Ryan Giggs,Wales,MG,82
Manchester United,2005-2006,6,Wes Brown,England,DC,82
Manchester United,2005-2006,13,Park Ji-Sung,Republic of Korea,MOC,82
Manchester United,2005-2006,2,Gary Neville,England,DD,79
Manchester United,2005-2006,14,Alan Smith,England,BU,78
Manchester United,2005-2006,23,Kieran Richardson,England,MG,77
Manchester United,2006-2007,8,Wayne Rooney,England,BU,92
Manchester United,2006-2007,5,Rio Ferdinand,England,DC,87
Manchester United,2006-2007,7,Cristiano Ronaldo,Portugal,MD|BU,87
Manchester United,2006-2007,1,Edwin Van der Sar,Netherlands,G,87
Manchester United,2006-2007,18,Paul Scholes,England,MC,86
Manchester United,2006-2007,11,Ryan Giggs,Wales,MG,84
Manchester United,2006-2007,4,Gabriel Heinze,Argentina,DG,84
Manchester United,2006-2007,9,Louis Saha,France,BU,83
Manchester United,2006-2007,27,Mikael Silvestre,France,DC,82
Manchester United,2006-2007,16,Michael Carrick,England,MC,82
Manchester United,2006-2007,2,Gary Neville,England,DD,81
Manchester United,2006-2007,22,John O'Shea,Republic of Ireland,DG|DC|DD,80
Manchester United,2006-2007,6,Wes Brown,England,DC,79
Manchester United,2006-2007,14,Alan Smith,England,BU,79
Manchester United,2006-2007,13,Park Ji-Sung,Republic of Korea,MOC,79
Manchester United,2006-2007,15,Nemanja Vidic,Serbia,DC,79
Manchester United,2006-2007,3,Patrice Evra,France,DG,78
