Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Tottenham Hotspur,2004-2005,10,Robbie Keane,Republic of Ireland,BU,83
Tottenham Hotspur,2004-2005,13,Kasey Keller,United States,G,82
Tottenham Hotspur,2004-2005,18,Jermain Defoe,England,BU,82
Tottenham Hotspur,2004-2005,9,Frédéric Kanouté,Mali,BU,80
Tottenham Hotspur,2004-2005,1,Paul Robinson,England,G,80
Tottenham Hotspur,2004-2005,2,Naybet M.,Morocco,DC,78
Tottenham Hotspur,2004-2005,26,Ledley King,England,DC,78
Tottenham Hotspur,2004-2005,8,Pedro Mendes,Portugal,MC|MD,77
Tottenham Hotspur,2004-2005,4,Sean Davis,England,MC,76
Tottenham Hotspur,2004-2005,24,Thimothée Atouba,Cameroon,MG,76
Tottenham Hotspur,2004-2005,15,Jamie Redknapp,England,MC,76
Tottenham Hotspur,2004-2005,21,Mbulelo Mabizela,South Africa,DC,76
Tottenham Hotspur,2004-2005,23,Michael Carrick,England,MC,75
Tottenham Hotspur,2004-2005,7,Simon Davies,Wales,MD,75
Tottenham Hotspur,2004-2005,30,Anthony Gardner,England,DC,75
Tottenham Hotspur,2004-2005,27,Rohan Ricketts,England,MC,75
Tottenham Hotspur,2004-2005,17,Noé Pamarot,France,DD,74
Tottenham Hotspur,2004-2005,6,Dean Richards,England,DC,72
Tottenham Hotspur,2004-2005,11,Michael Brown,England,MC,72
Tottenham Hotspur,2004-2005,32,Johnnie Jackson,England,MG,71
Tottenham Hotspur,2004-2005,14,Erik Edman,Sweden,DG,70
Tottenham Hotspur,2004-2005,12,Calum Davenport,England,DC,70
Tottenham Hotspur,2004-2005,20,Edson Ronaldo Silva Sousa,Portugal,BU,70
Tottenham Hotspur,2004-2005,29,Philip Ifil,England,DD,70
Tottenham Hotspur,2004-2005,3,Mauricio Taricco,Argentina,DG,66
Tottenham Hotspur,2005-2006,1,Paul Robinson,England,G,87
Tottenham Hotspur,2005-2006,5,Edgar Davids,Netherlands,MC|MG,84
Tottenham Hotspur,2005-2006,18,Jermain Defoe,England,BU,84
Tottenham Hotspur,2005-2006,10,Robbie Keane,Republic of Ireland,BU,82
Tottenham Hotspur,2005-2006,26,Ledley King,England,DC,82
Tottenham Hotspur,2005-2006,2,Nourredine Naybet,Morocco,DC,80
Tottenham Hotspur,2005-2006,23,Michael Carrick,England,MC,80
Tottenham Hotspur,2005-2006,19,Andy Reid,Republic of Ireland,MG,78
Tottenham Hotspur,2005-2006,8,Pedro Mendes,Portugal,MC|MD,77
Tottenham Hotspur,2005-2006,6,Teemu Tainio,Finland,MC,76
Tottenham Hotspur,2005-2006,21,Wayne Routledge,England,MD,76
Tottenham Hotspur,2005-2006,15,Mido,Egypt,BU,75
Tottenham Hotspur,2005-2006,4,Sean Davis,England,MC,75
Tottenham Hotspur,2005-2006,17,Noé Pamarot,France,DD,74
Tottenham Hotspur,2005-2006,11,Michael Brown,England,MC,74
Tottenham Hotspur,2005-2006,27,Calum Davenport,England,DC,74
Tottenham Hotspur,2005-2006,14,Erik Edman,Sweden,DG,73
Tottenham Hotspur,2005-2006,7,Paul Stalteri,Canada,DD,72
Tottenham Hotspur,2005-2006,13,Márton Fülöp,Hungary,G,71
Tottenham Hotspur,2005-2006,29,Philip Ifil,England,DD,71
Tottenham Hotspur,2005-2006,3,Stephen Kelly,Republic of Ireland,DD,70
Tottenham Hotspur,2005-2006,16,Reto Ziegler,Switzerland,MG,69
Tottenham Hotspur,2005-2006,25,Aaron Lennon,England,MD,63
Tottenham Hotspur,2006-2007,10,Robbie Keane,Republic of Ireland,BU,86
Tottenham Hotspur,2006-2007,1,Paul Robinson,England,G,85
Tottenham Hotspur,2006-2007,26,Ledley King,England,DC,84
Tottenham Hotspur,2006-2007,9,Dimitar Berbatov,Bulgaria,BU,83
Tottenham Hotspur,2006-2007,18,Jermain Defoe,England,BU,83
Tottenham Hotspur,2006-2007,20,Michael Dawson,England,DC,81
Tottenham Hotspur,2006-2007,5,Edgar Davids,Netherlands,MC|MG,80
Tottenham Hotspur,2006-2007,4,Didier Zokora,Ivory Coast,MC|MDC,80
Tottenham Hotspur,2006-2007,8,Jermaine Jenas,England,MC,80
Tottenham Hotspur,2006-2007,3,Lee Young Pyo,Republic of Korea,DG,79
Tottenham Hotspur,2006-2007,25,Aaron Lennon,England,MD,79
Tottenham Hotspur,2006-2007,30,Anthony Gardner,England,DC,78
Tottenham Hotspur,2006-2007,6,Teemu Tainio,Finland,MC,77
Tottenham Hotspur,2006-2007,13,Danny Murphy,England,MC,76
Tottenham Hotspur,2006-2007,27,Calum Davenport,England,DC,76
Tottenham Hotspur,2006-2007,21,Wayne Routledge,England,MD,75
Tottenham Hotspur,2006-2007,7,Paul Stalteri,Canada,DD,74
Tottenham Hotspur,2006-2007,16,Reto Ziegler,Switzerland,MG,73
Tottenham Hotspur,2006-2007,22,Tom Huddlestone,England,MDC,72
Tottenham Hotspur,2006-2007,17,Márton Fülöp,Hungary,G,72
Tottenham Hotspur,2006-2007,14,Hossam Ghaly,Egypt,MDC,70
Tottenham Hotspur,2006-2007,32,Benoît Assou-Ekotto,France,DG,70
Tottenham Hotspur,2006-2007,29,Philip Ifil,England,DD,70
Tottenham Hotspur,2006-2007,34,Terry Dixon,Republic of Ireland,BU,67
Tottenham Hotspur,2006-2007,12,Radek Cerny,Czechia,G,62
Tottenham Hotspur,2007-2008,9,Dimitar Berbatov,Bulgaria,BU,85
Tottenham Hotspur,2007-2008,23,Darren Bent,England,BU,85
Tottenham Hotspur,2007-2008,18,Jermain Defoe,England,BU,84
Tottenham Hotspur,2007-2008,10,Robbie Keane,Republic of Ireland,BU,83
Tottenham Hotspur,2007-2008,26,Ledley King,England,DC,83
Tottenham Hotspur,2007-2008,25,Aaron Lennon,England,MD,83
Tottenham Hotspur,2007-2008,1,Paul Robinson,England,G,80
Tottenham Hotspur,2007-2008,4,Didier Zokora,Ivory Coast,MC|MDC,80
Tottenham Hotspur,2007-2008,15,Steed Malbranque,France,MG,79
Tottenham Hotspur,2007-2008,2,Pascal Chimbonda,France,DD,79
Tottenham Hotspur,2007-2008,20,Michael Dawson,England,DC,79
Tottenham Hotspur,2007-2008,6,Teemu Tainio,Finland,MC,77
Tottenham Hotspur,2007-2008,8,Jermaine Jenas,England,MC,77
Tottenham Hotspur,2007-2008,22,Tom Huddlestone,England,MC,77
Tottenham Hotspur,2007-2008,16,Gareth Bale,Wales,AD|AG|BU,76
Tottenham Hotspur,2007-2008,33,Ricardo Rocha,Portugal,DC,75
Tottenham Hotspur,2007-2008,30,Anthony Gardner,England,DC,74
Tottenham Hotspur,2007-2008,5,Younes Kaboul,France,DC,73
Tottenham Hotspur,2007-2008,7,Paul Stalteri,Canada,DD,72
Tottenham Hotspur,2007-2008,14,Hossam Ghaly,Egypt,MC,72
Tottenham Hotspur,2007-2008,32,Benoît Assou-Ekotto,France,DG,72
Tottenham Hotspur,2007-2008,13,Danny Murphy,England,MC,71
Tottenham Hotspur,2007-2008,17,Kevin-Prince Boateng,Germany,MOC,70
Tottenham Hotspur,2007-2008,19,Adel Taarabt,France,MOC,70
Tottenham Hotspur,2007-2008,12,Radek Cerny,Czechia,G,68
Tottenham Hotspur,2008-2009,1,Gomes,Brazil,G,82
Tottenham Hotspur,2008-2009,5,David Bentley,England,MD,82
Tottenham Hotspur,2008-2009,14,Luka Modrič,Croatia,MC,82
Tottenham Hotspur,2008-2009,26,Ledley King,England,DC,81
Tottenham Hotspur,2008-2009,9,Roman Pavlyuchenko,Russia,BU,81
Tottenham Hotspur,2008-2009,18,Vedran Čorluka,Croatia,DD,81
