Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Liverpool,2004-2005,8,Steven Gerrard,England,MC|MD|MOC|BU|MDC,93
Liverpool,2004-2005,9,Djibril Cisse,France,BU,90
Liverpool,2004-2005,5,Milan Baros,Czechia,BU,87
Liverpool,2004-2005,7,Harry Kewell,Australia,MG,86
Liverpool,2004-2005,4,Sami Hyypia,Finland,DC,86
Liverpool,2004-2005,16,Dietmar Hamann,Germany,MDC,85
Liverpool,2004-2005,14,Xabi Alonso,Spain,MC,85
Liverpool,2004-2005,23,Jamie Carragher,England,DC,84
Liverpool,2004-2005,11,Vladimir Smicer,Czechia,MOC,83
Liverpool,2004-2005,1,Jerzy Dudek,Poland,G,83
Liverpool,2004-2005,2,Stephane Henchoz,Switzerland,DC,82
Liverpool,2004-2005,6,John Arne Riise,Norway,DG|MG,82
Liverpool,2004-2005,22,Chris Kirkland,England,G,81
Liverpool,2004-2005,10,Luis Garcia,Spain,MD|BU,80
Liverpool,2004-2005,17,Josemi,Spain,DD,78
Liverpool,2004-2005,3,Steve Finnan,Republic of Ireland,DD,77
Liverpool,2004-2005,25,Igor Biscan,Croatia,MDC,76
Liverpool,2004-2005,24,Florent Sinama-Pongolle,France,BU,75
Liverpool,2004-2005,12,Nunez,Spain,MD,75
Liverpool,2004-2005,15,Salif Diao,Senegal,MDC,74
Liverpool,2004-2005,21,Djimi Traore,France,DC,74
Liverpool,2004-2005,28,Stephen Warnock,England,DG,71
Liverpool,2005-2006,19,Fernando Morientes,Spain,BU,91
Liverpool,2005-2006,8,Steven Gerrard,England,MC|MD|MOC|BU|MDC,91
Liverpool,2005-2006,9,Djibril Cisse,France,BU,89
Liverpool,2005-2006,1,Jerzy Dudek,Poland,G,88
Liverpool,2005-2006,14,Xabi Alonso,Spain,MC,86
Liverpool,2005-2006,10,Luis Garcia,Spain,MD|BU,86
Liverpool,2005-2006,7,Harry Kewell,Australia,MG,85
Liverpool,2005-2006,23,Jamie Carragher,England,DC,85
Liverpool,2005-2006,6,John Arne Riise,Norway,DG|MG,85
Liverpool,2005-2006,25,Jose Reina,Spain,G,85
Liverpool,2005-2006,16,Dietmar Hamann,Germany,MDC,84
Liverpool,2005-2006,30,Boudewijn Zenden,Netherlands,MG,83
Liverpool,2005-2006,4,Sami Hyypia,Finland,DC,83
Liverpool,2005-2006,3,Steve Finnan,Republic of Ireland,DD,81
Liverpool,2005-2006,21,Djimi Traore,Mali,DG,78
Liverpool,2005-2006,33,Neil Mellor,England,BU,78
Liverpool,2005-2006,24,Florent Sinama-Pongolle,France,BU,77
Liverpool,2005-2006,17,Josemi,Spain,DD,77
Liverpool,2005-2006,20,Scott Carson,England,G,75
Liverpool,2005-2006,28,Stephen Warnock,England,DG,74
Liverpool,2005-2006,15,Peter Crouch,England,BU,73
Liverpool,2006-2007,8,Steven Gerrard,England,MC|MD|MOC|BU|MDC,87
Liverpool,2006-2007,23,Jamie Carragher,England,DC,85
Liverpool,2006-2007,25,Jose Reina,Spain,G,84
Liverpool,2006-2007,14,Xabi Alonso,Spain,MC,84
Liverpool,2006-2007,10,Luis Garcia,Spain,MD|BU,84
Liverpool,2006-2007,7,Harry Kewell,Australia,MG,83
Liverpool,2006-2007,4,Sami Hyypia,Finland,DC,83
Liverpool,2006-2007,18,Dirk Kuyt,Netherlands,BU|MD|MOC|AD,82
Liverpool,2006-2007,17,Craig Bellamy,Wales,BU|AG,81
Liverpool,2006-2007,1,Jerzy Dudek,Poland,G,81
Liverpool,2006-2007,22,Mohamed Sissoko,Mali,MC|MDC,80
Liverpool,2006-2007,6,John Arne Riise,Norway,DG|MG,79
