Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Lens,2007-2008,8,Bonaventure Kalou,Cote d'Ivoire,MC,82
Lens,2007-2008,27,Aruna Dindane,Cote d'Ivoire,BU|AG,82
Lens,2007-2008,3,Hilton,Bresil,DC|DD,81
Lens,2007-2008,18,Olivier Monterrubio,France,AG,80
Lens,2007-2008,11,Kanga Akale,Cote d'Ivoire,AD,80
Lens,2007-2008,4,Adama Coulibaly,Mali,DD,76
Lens,2007-2008,28,Julien Sable,France,MC,76
Lens,2007-2008,1,Vedran Runje,Croatie,G,75
Lens,2007-2008,10,Eric Carriere,France,MOC|MC,75
Lens,2007-2008,26,Yohan Demont,France,DD,75
Lens,2007-2008,23,Nenad Kovacevic,Serbie,MDC,74
Lens,2007-2008,16,Ronan Le Crom,France,G,72
Lens,2007-2008,15,Fabien Laurenti,France,DD,71
Lens,2007-2008,9,Luigi Pieroni,Belgique,BU,71
Lens,2007-2008,25,Milan Bisevac,Serbie,DC,71
Lens,2007-2008,21,Sidi Yaya Keita,Mali,MDC,68
Lens,2007-2008,7,Razak Boukari,France,BU,68
Lens,2007-2008,19,Lucien Aubey,Congo,DG,66
Lens,2007-2008,35,Seid Khiter,France,AD,66
Lens,2007-2008,22,Jonathan Lacourt,France,MC,66
Lens,2007-2008,2,Marco Ramos,Portugal,DG,65
Lens,2007-2008,32,Mounir Diane,Maroc,MC,64
Lens,2007-2008,14,Kevin Monnet-Paquet,France,BU,61
Lens,2007-2008,41,David Pollet,Belgique,BU,55
Lens,2007-2008,20,Adil Hermach,France,MDC,50
Lens,2006-2007,8,Seydou Keita,Mali,MC|MDC,80
Lens,2006-2007,30,Charles Itandje,France,G,80
Lens,2006-2007,3,Hilton,Bresil,DC|DD,80
Lens,2006-2007,27,Aruna Dindane,Cote d'Ivoire,BU|AG,78
Lens,2006-2007,18,Olivier Thomert,France,MG|MD,78
Lens,2006-2007,9,Daniel Cousin,Gabon,BU,78
Lens,2006-2007,11,Jussie,Bresil,MD,78
Lens,2006-2007,4,Adama Coulibaly,Mali,DD,76
Lens,2006-2007,10,Eric Carriere,France,MOC|MC,76
Lens,2006-2007,26,Yohan Demont,France,DD,75
Lens,2006-2007,24,Gregory Vignal,France,DG,74
Lens,2006-2007,21,Sidi Yaya Keita,Mali,MC,74
Lens,2006-2007,1,Sebastien Chabbert,France,G,72
Lens,2006-2007,5,Nicolas Gillet,France,DC,72
Lens,2006-2007,7,Razak Boukari,France,BU,70
Lens,2006-2007,22,Issam Jemaa,Tunisie,BU,69
Lens,2006-2007,34,Patrick Barul,France,DC,68
Lens,2006-2007,13,Jonathan Lacourt,France,MC,66
Lens,2006-2007,20,Mounir Diane,Maroc,MC,63
Lens,2006-2007,36,Daouda Jabi,Guinee,DD,61
Lens,2006-2007,32,Marco Ramos,Portugal,DG,59
Lens,2006-2007,25,Simon Feindouno,Guinee,MC,58
Lens,2006-2007,14,Kevin Monnet-Paquet,France,BU,52
Lens,2005-2006,10,Eric Carriere,France,MOC|MC,82
Lens,2005-2006,30,Charles Itandje,France,G,81
Lens,2005-2006,5,Nicolas Gillet,France,DC,79
Lens,2005-2006,8,Seydou Keita,Mali,MOC|MC,78
Lens,2005-2006,18,Olivier Thomert,France,MG|MD,78
Lens,2005-2006,3,Hilton,Bresil,DD|DC,77
Lens,2005-2006,7,Jerome Leroy,France,MD|MOC,75
Lens,2005-2006,27,Aruna Dindane,Cote d'Ivoire,BU,75
Lens,2005-2006,23,Alou Diarra,France,MDC,73
Lens,2005-2006,15,Yoann Lachor,France,DC,72
Lens,2005-2006,9,Daniel Cousin,Gabon,BU,72
Lens,2005-2006,4,Adama Coulibaly,Mali,DG,71
Lens,2005-2006,13,Mounir Diane,Maroc,MC,71
Lens,2005-2006,32,Benoit Assou-Ekotto,France,DG,70
Lens,2005-2006,26,Yohan Demont,France,DD,69
Lens,2005-2006,22,Issam Jemaa,Tunisie,BU,68
Lens,2005-2006,1,Sebastien Chabbert,France,G,67
Lens,2005-2006,34,Patrick Barul,France,DC,67
Lens,2005-2006,11,Jussie,Bresil,BU,65
Lens,2005-2006,16,Niki Maenpaa,Finlande,G,63
Lens,2005-2006,33,Mathieu Bucher,France,BU,62
Lens,2005-2006,36,Martin Ekani,France,DC,61
Lens,2005-2006,14,Jonathan Martins Pereira,France,DC,60
Lens,2004-2005,10,Eric Carriere,France,MOC|MC,84
Lens,2004-2005,30,Charles Itandje,France,G,82
Lens,2004-2005,5,Nicolas Gillet,France,DC,79
Lens,2004-2005,8,Seydou Keita,Mali,MC|MOC,78
Lens,2004-2005,7,Jerome Leroy,France,MC|MOC,77
Lens,2004-2005,18,Olivier Thomert,France,MG|MD,77
Lens,2004-2005,3,Hilton,Bresil,DD,77
Lens,2004-2005,6,Jacek Bak,Pologne,DC,76
Lens,2004-2005,9,Daniel Cousin,Gabon,BU,75
Lens,2004-2005,15,Yoann Lachor,France,DG,74
Lens,2004-2005,21,John Utaka,Nigeria,BU,74
Lens,2004-2005,23,Alou Diarra,France,MDC,71
Lens,2004-2005,4,Adama Coulibaly,Mali,DC,70
Lens,2004-2005,11,Pape Sarr,Senegal,MDC,69
Lens,2004-2005,20,Dagui Bakari,Cote d'Ivoire,BU,68
Lens,2004-2005,14,Eric Cubilier,France,DD,68
Lens,2004-2005,1,Sebastien Chabbert,France,G,67
Lens,2004-2005,34,Patrick Barul,France,DC,66
Lens,2004-2005,13,Mounir Diane,Maroc,MC,66
Lens,2004-2005,16,Niki Maenpaa,Finlande,G,63
Lens,2004-2005,27,Daouda Jabi,Guinee,DD,62
Lens,2004-2005,32,Bouabid Bouden,Maroc,BU,62
Lens,2004-2005,29,Benoit Assou-Ekotto,France,DG,60
Lens,2004-2005,31,Matar Coly,Senegal,BU,59
Lens,2004-2005,22,Yazid Kaissi,France,MOC,49
Lens,2008-2009,27,Aruna Dindane,Cote d'Ivoire,BU|AG,77
Lens,2008-2009,23,Nenad Kovacevic,Serbie,MDC,75
Lens,2008-2009,1,Vedran Runje,Croatie,G,73
Lens,2008-2009,9,Toifilou Maoulida,France,AD,72
Lens,2008-2009,25,Julien Sable,France,MC,72
Lens,2008-2009,24,Eric Chelle,Mali,DG,69
Lens,2008-2009,18,Sebastien Roudet,France,AG,68
Lens,2008-2009,26,Yohan Demont,France,AD,68
Lens,2008-2009,12,Alaeddine Yahia,Tunisie,DD,67
Lens,2008-2009,4,Romain Sartre,France,DD,67
Lens,2008-2009,8,Geoffrey Doumeng,France,MC,67
Lens,2008-2009,21,Sidi Yaya Keita,Mali,MC,66
Lens,2008-2009,22,Issam Jemaa,Tunisie,BU,66
Lens,2008-2009,3,Gregory Vignal,France,DG,65
Lens,2008-2009,15,Fabien Laurenti,France,DD,65
Lens,2008-2009,7,Razak Boukari,France,BU,65
Lens,2008-2009,14,Kevin Monnet-Paquet,France,BU,64
Lens,2008-2009,2,Marco Ramos,Portugal,DG,63
Lens,2008-2009,10,Dejan Milovanovic,Serbie,MDC,63
Lens,2008-2009,20,Adil Hermach,Maroc,MDC,59
Lens,2008-2009,30,Kevin Goeman,Belgique,G,57
Lens,2008-2009,16,Arnaud Brocard,France,G,55
Lens,2008-2009,28,Nolan Roux,France,BU,54
Lens,2008-2009,31,Dalibor Veselinovic,Serbie,BU,54
Lens,2008-2009,35,Samuel Camille,France,BU,51
Lens,2008-2009,32,Steven Joseph-Monrose,France,BU,50
Lens,2008-2009,37,Jeremy Blanc,France,DC,48
Lens,2009-2010,1,Vedran Runje,Croatie,G,75
Lens,2009-2010,23,Nenad Kovacevic,Serbie,MC,75
Lens,2009-2010,11,Eduardo,Bresil,BU,72
Lens,2009-2010,5,Alaeddine Yahia,Tunisie,DC,71
Lens,2009-2010,26,Yohan Demont,France,DD,71
Lens,2009-2010,9,Toifilou Maoulida,France,AD,70
Lens,2009-2010,24,Eric Chelle,Mali,DD,70
Lens,2009-2010,7,Abdoulrazak Boukari,France,AG,70
Lens,2009-2010,12,Kanga Akale,Cote d'Ivoire,AG,69
Lens,2009-2010,22,Issam Jemaa,Tunisie,BU,69
Lens,2009-2010,10,Dejan Milovanovic,Serbie,MDC,69
Lens,2009-2010,18,Sebastien Roudet,France,MG,68
Lens,2009-2010,20,Adil Hermach,Maroc,MC,68
Lens,2009-2010,19,Romain Sartre,France,DC,67
Lens,2009-2010,2,Marco Ramos,Portugal,DG,67
Lens,2009-2010,16,Hamdi Kasraoui,Tunisie,G,67
Lens,2009-2010,14,Kevin Monnet-Paquet,France,AD,67
Lens,2009-2010,8,Geoffrey Doumeng,France,MOC,66
Lens,2009-2010,15,Fabien Laurenti,France,DD,65
Lens,2009-2010,4,Issam El Adoua,Maroc,DC,63
Lens,2009-2010,30,Samuel Atrous,France,G,58
Lens,2009-2010,25,Steven Joseph-Monrose,France,AD,54
Lens,2009-2010,27,Samba Sow,Mali,MC,50
Lens,2009-2010,29,William Remy,France,DC,49
Lens,2009-2010,28,Benjamin Leclerc,France,MC,49
Lens,2009-2010,34,Alexandre Coeff,France,MC,48
Lens,2009-2010,36,Darnel Situ,France,DC,45
Lens,2009-2010,35,Mehdi Abeid,France,MOC,40
Lens,2010-2011,1,Vedran Runje,Croatie,G,75
Lens,2010-2011,18,Sebastien Roudet,France,MC,73
Lens,2010-2011,5,Alaeddine Yahia,Tunisie,DD,72
Lens,2010-2011,11,Eduardo,Bresil,BU,72
Lens,2010-2011,23,Nenad Kovacevic,Serbie,MDC,72
Lens,2010-2011,9,Toifilou Maoulida,France,AD,71
Lens,2010-2011,26,Yohan Demont,France,DD,71
Lens,2010-2011,20,Adil Hermach,Maroc,MC,71
Lens,2010-2011,6,Henri Bedimo,Cameroun,DG,70
Lens,2010-2011,21,Sidi Yaya Keita,Mali,MDC,70
Lens,2010-2011,7,Abdoulrazak Boukari,France,AG,70
Lens,2010-2011,24,Eric Chelle,Mali,DG,69
Lens,2010-2011,28,Kanga Akale,Cote d'Ivoire,AG,69
Lens,2010-2011,22,Issam Jemaa,Tunisie,BU,69
Lens,2010-2011,10,Gregory Sertic,France,MC,68
Lens,2010-2011,2,Marco Ramos,Portugal,DG,67
Lens,2010-2011,16,Hamdi Kasraoui,Tunisie,G,67
Lens,2010-2011,27,Samba Sow,Mali,MDC,67
Lens,2010-2011,8,Geoffrey Doumeng,France,MOC,66
Lens,2010-2011,29,David Pollet,Belgique,BU,61
Lens,2010-2011,15,Steven Joseph-Monrose,France,AD,60
Lens,2010-2011,30,Samuel Atrous,France,G,58
Lens,2010-2011,3,Serge Aurier,France,DD,57
Lens,2010-2011,40,Kevin Goeman,Belgique,G,56
Lens,2010-2011,35,Bilal Hamdi,France,BU,55
Lens,2010-2011,34,Alassane Toure,France,DD,52
Lens,2010-2011,33,Alexandre Coeff,France,MC,47
Lens,2010-2011,25,Darnel Situ,France,DC,45
Lens,2011-2012,7,Chaouki Ben Saada,Tunisie,MD,70
Lens,2011-2012,6,Pascal Berenguer,France,MC,70
Lens,2011-2012,5,Gabriel Cichero,Venezuela,DG,70
Lens,2011-2012,11,Alexandre Cuvillier,France,MG,70
Lens,2011-2012,9,Eduardo,Bresil,BU,69
Lens,2011-2012,4,Alaeddine Yahia,Tunisie,DD,68
Lens,2011-2012,8,Pierre Ducasse,France,MDC,68
Lens,2011-2012,24,Ludovic Baal,France,DG,68
Lens,2011-2012,26,Yohan Demont,France,DD,67
Lens,2011-2012,1,Hamdi Kasraoui,Tunisie,G,67
Lens,2011-2012,20,Jean-Eudes Maurice,France,BU,66
Lens,2011-2012,3,Serge Aurier,Cote d'Ivoire,DD,65
Lens,2011-2012,27,Samba Sow,Mali,MDC,64
Lens,2011-2012,17,Franck Queudrue,France,DG,63
Lens,2011-2012,16,Michael Fabre,France,G,63
Lens,2011-2012,10,Julien Toudic,France,AG,63
Lens,2011-2012,15,Fode Koita,France,BU,63
Lens,2011-2012,29,David Pollet,Belgique,AD,62
Lens,2011-2012,14,Ali-Azouz Mathlouthi,France,BU,58
Lens,2011-2012,40,Samuel Atrous,France,G,58
Lens,2011-2012,31,Alexandre Coeff,France,MC,56
Lens,2011-2012,23,Alassane Toure,France,DD,56
Lens,2011-2012,19,Geoffrey Kondogbia,France,MDC,56
Lens,2011-2012,22,Thorgan Hazard,Belgique,MOC,56
Lens,2011-2012,21,Marco Rosenfelder,France,MOC,55
Lens,2011-2012,30,Nicolas Caraux,France,G,54
Lens,2011-2012,2,Zakarya Bergdich,France,DG,52
Lens,2011-2012,18,William Remy,France,DC,49
Lens,2012-2013,5,Alaeddine Yahia,Tunisie,DC,68
Lens,2012-2013,8,Pierre Ducasse,France,MDC,68
Lens,2012-2013,9,David Pollet,Belgique,BU,68
